1143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,52,19342.4,23,0.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,13,14,9,19,18,40,152,153,157,999,153,999,116,43,18,13,,,,,,,,,,,
2,52,16984.46154,24.77777778,0.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,19,18,25,23,40,53,116,140,154,151,141,149,116,109,110,106,107,19,,,,,,,,,
3,52,8055.272727,25.125,0.4,0.4,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,40,37,43,40,53,109,84,82,80,40,,,,,,,,,,,,,,,,,
4,52,10563,25.07142857,0.5,0.333333333,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,23,21,19,18,9,84,82,83,109,53,40,23,,,,,,,,,,,,,,,
5,52,17404.44444,24,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,18,19,21,40,140,152,149,116,139,210,109,43,18,,,,,,,,,,,,,,
6,52,23630.30769,19.34917179,0.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,16,9,19,18,21,25,23,43,113,132,137,138,132,113,210,106,107,43,23,16,,,,,,,
7,52,14700.22222,23.83333333,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,24,25,23,19,18,63,9,24,,,,,,,,,,,,,,,,,,,
8,52,23041.83333,19.34917179,0.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,19,18,23,40,145,151,152,151,140,139,43,37,19,,,,,,,,,,,,,,
9,52,7752,25.08333333,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,21,23,19,18,9,2,57,58,2,9,21,,,,,,,,,,,,,,,,
10,52,7593.555556,25.16666667,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,137,132,232,134,137,138,139,145,75,77,70,71,76,999,77,75,139,137,,,,,,,,,
