1,1,48,48,24,250,250,0
2,1,48,48,24,250,250,0
3,1,48,48,24,250,250,0
4,1,48,48,24,250,250,0
5,1,48,48,24,250,250,0
6,1,48,48,24,250,250,0
7,1,48,48,24,250,250,0
8,26,72,48,48,480,490,1
801,26,72,48,48,480,490,1
9,2,48,48,12,100,100,0
10,2,48,48,12,100,100,0
11,2,48,48,24,100,100,0
12,2,48,48,24,100,100,0
13,5,72,72,48,140,140,1
331,5,72,72,48,140,140,1
14,5,72,72,48,140,140,1
15,5,72,72,48,140,140,1
16,5,72,72,24,140,140,1
17,5,72,72,24,140,140,1
271,5,72,72,24,140,140,1
18,5,72,72,24,140,140,1
19,5,72,72,24,140,140,1
20,5,72,72,48,140,140,1
21,5,72,72,24,140,140,1
22,5,72,72,48,140,140,1
23,5,72,72,24,140,140,1
24,5,72,72,24,140,140,1
25,5,72,72,24,140,140,1
252,5,72,72,24,140,140,1
26,6,48,24,12,265,265,0
27,8,48,48,24,180,180,0
28,8,48,48,24,180,180,0
29,8,48,48,24,180,180,0
30,8,48,48,24,180,180,0
31,9,72,72,48,225,200,0
32,9,72,72,48,225,200,0
33,9,72,72,48,225,200,0
34,10,72,96,48,150,175,1
341,10,72,96,24,150,175,1
342,10,72,96,24,150,175,1
35,10,72,96,48,150,175,1
36,10,72,96,24,150,175,1
361,12,48,48,48,100,225,1
37,13,72,48,24,160,160,1
38,13,72,48,24,160,160,1
381,13,72,48,24,160,160,1
39,14,48,48,24,120,120,0
40,14,48,48,12,120,120,0
41,14,48,48,24,120,120,0
42,14,48,48,24,120,120,0
43,15,24,24,12,150,150,0
431,16,72,144,48,165,165,1
44,17,48,96,48,165,165,0
45,17,48,96,48,165,165,0
46,17,48,96,48,165,165,0
47,20,120,168,48,450,650,0
48,23,96,192,48,143,143,0
485,23,96,192,48,143,143,0
486,23,96,192,48,143,143,0
49,23,96,96,48,125,115,0
491,23,96,96,48,125,115,0
492,23,96,96,48,125,115,0
50,23,72,144,48,175,200,0
501,23,72,144,48,175,200,0
51,23,72,96,48,318,307,0
52,23,72,96,48,318,307,0
53,24,72,48,24,185,185,0
54,25,96,72,48,115,150,1
55,25,96,72,48,115,150,1
56,26,72,48,48,480,490,1
57,34,24,48,24,600,650,0
