0,1,2,3,4,5,6,7,8,801,9,10,11,12,13,331,14,15,16,17,271,18,19,20,21,22,23,24,25,252,26,27,28,29,30,31,32,33,34,341,342,35,36,361,37,38,381,39,40,41,42,43,431,44,45,46,47,48,485,486,49,491,492,50,501,51,52,53,54,55,56,57,58,59,61,62,63,64,65,66,67,68,69,691,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,841,85,86,87,88,89,90,91,92,93,94,95,96,97,971,98,99,100,101,102,103,203,104,105,205,106,107,108,208,109,110,210,111,112,113,114,115,215,116,117,118,119,120,121,122,123,223,323,423,124,125,126,127,227,128,129,130,131,231,132,232,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,255,355,455,156,256,157,257,158,159,259,160,161,162,163,164,165,465,166,167,567,168,169,170,171,172,173
1,0,16.1,120.6,214.9,364.6,361.1,616.3,951.3,909.5,675.2,756.3,1025.9,1034,1176.9,1323.4,1357,1138.9,1120.2,1139.7,1110.4,1087,1111.8,1381.5,1402.9,1488.2,1598.6,1649.8,1670.9,1639.2,1598.9,1146.7,1163.3,1236.1,1350.8,1771.1,1800,2022.8,2080.5,2078.1,2369.2,2456.2,2427.3,2743.2,2958.1,3002.2,2842.4,2895.5,2922.2,3118.3,3265.4,2898.6,3995.2,3106.3,3234.5,3247.5,4397.2,4470.4,4530.6,4490.3,4481.7,4618.4,4757.3,5338,5467.2,5473,5695.6,4466.4,5789.4,5793.1,13733.4,3833.5,4268.1,4255.8,4559.6,4862.7,4865.9,5997.2,6148,7718.9,7749.6,7953.9,8447.1,8504.4,9189.1,9252.2,8743.4,8609.2,8302.8,8976,9275.7,9005.5,8998.8,9272.8,9345.4,9355.6,9550.3,9674.6,9750.9,10082.8,10953.7,7847.6,7978.5,8552,9357.7,9380.1,9352.7,8029,8553.2,10836.9,11605.6,11472.7,11359.8,11320.3,11293,11291.5,10886.9,10606.1,10668.1,6291.7,6789.5,6596.2,6576.5,6530.6,6421.8,6355.4,6205,6164.6,6083.1,14732.8,7945.8,14391.5,14111.8,14003.9,13986.7,13891,12506.8,12078.3,12232.5,11847.1,14103.7,14106.9,14097.2,14062,13744.6,13902.3,13843.5,13930.8,13885.8,14097.6,14247.2,14381.7,14487.6,13586.8,13755.1,13077.9,12812.1,13767.7,13115.9,13066.8,12952.5,12956.6,12934.5,12779,12597.5,12471.3,12088.5,12481.7,12486,12328.3,12318,12238.7,12271.7,12239.2,12215.5,12414.8,12366.6,12500,12555.1,12566.1,12775.9,12821.6,13306.7,13362.7,13508,13569,13641.4,13584.1,12938.3,11478.6,11068.6,11045.8,10962.9,10935,10186.6,9964,8380.9,7968.4,7700.6,6957.1,6958.2,6646.8,6184.2,3948.3,4362.2,4950.6,4498.7,4824.5,4895.6
2,16.1,0,107.1,201.4,351.1,347.6,602.8,937.8,896,661.7,742.8,1012.4,1020.5,1163.4,1309.9,1343.5,1125.4,1106.7,1126.2,1096.9,1073.5,1098.3,1368,1389.4,1474.7,1585.1,1636.3,1657.4,1625.7,1585.4,1133.2,1149.8,1222.6,1337.3,1757.6,1786.5,2009.3,2067,2064.6,2355.7,2442.7,2413.8,2729.7,2944.6,2988.7,2828.9,2882,2908.7,3104.8,3251.9,2885.1,3981.7,3092.8,3221,3234,4383.7,4456.9,4517.1,4476.8,4468.2,4604.9,4743.8,5324.5,5453.7,5459.5,5682.1,4452.9,5775.9,5779.6,13719.9,3820,4254.6,4242.3,4546.1,4849.2,4852.4,5983.7,6134.5,7705.4,7736.1,7940.4,8433.6,8490.9,9175.6,9238.7,8729.9,8595.7,8289.3,8962.5,9262.2,8992,8985.3,9259.3,9331.9,9342.1,9536.8,9661.1,9737.4,10069.3,10940.2,7834.1,7965,8538.5,9344.2,9366.6,9339.2,8015.5,8539.7,10823.4,11592.1,11459.2,11346.3,11306.8,11279.5,11278,10873.4,10592.6,10654.6,6278.2,6776,6582.7,6563,6517.1,6408.3,6341.9,6191.5,6151.1,6069.6,14719.3,7932.3,14378,14098.3,13990.4,13973.2,13877.5,12493.3,12064.8,12219,11833.6,14090.2,14093.4,14083.7,14048.5,13731.1,13888.8,13830,13917.3,13872.3,14084.1,14233.7,14368.2,14474.1,13573.3,13741.6,13064.4,12798.6,13754.2,13102.4,13053.3,12939,12943.1,12921,12765.5,12584,12457.8,12075,12468.2,12472.5,12314.8,12304.5,12225.2,12258.2,12225.7,12202,12401.3,12353.1,12486.5,12541.6,12552.6,12762.4,12808.1,13293.2,13349.2,13494.5,13555.5,13627.9,13570.6,12924.8,11465.1,11055.1,11032.3,10949.4,10921.5,10173.1,9950.5,8367.4,7954.9,7687.1,6943.6,6944.7,6633.3,6170.7,3934.8,4348.7,4937.1,4485.2,4811,4882.1
3,120.6,107.1,0,124.8,283,279.5,534.7,982.9,941.1,593.6,674.7,944.3,952.4,1095.3,1241.8,1275.4,1057.3,1038.6,1058.1,1028.8,1005.4,1030.2,1299.9,1321.3,1406.6,1517,1568.2,1589.3,1557.6,1517.3,1065.1,1081.7,1154.5,1269.2,1692.7,1725.1,1976.4,1998.9,1996.5,2287.6,2374.6,2345.7,2664.8,2879.7,2923.8,2764,2817.1,2843.8,3039.9,3187,2820.2,3916.8,3031.4,3156.1,3169.1,4318.8,4392,4452.2,4411.9,4403.3,4540,4678.9,5259.6,5388.8,5394.6,5617.2,4388,5711,5714.7,13765,3865.1,4299.7,4287.4,4591.2,4894.3,4897.5,6028.8,6179.6,7750.5,7781.2,7985.5,8478.7,8536,9220.7,9283.8,8775,8640.8,8334.4,9007.6,9307.3,9037.1,9030.4,9304.4,9377,9387.2,9581.9,9706.2,9782.5,10114.4,10985.3,7879.2,8010.1,8583.6,9389.3,9411.7,9384.3,8060.6,8584.8,10868.5,11527.2,11504.3,11391.4,11351.9,11324.6,11323.1,10918.5,10637.7,10699.7,6213.3,6711.1,6517.8,6498.1,6452.2,6343.4,6277,6126.6,6086.2,6004.7,14764.4,7867.4,14423.1,14143.4,14035.5,14018.3,13922.6,12538.4,12109.9,12264.1,11878.7,14135.3,14138.5,14128.8,14093.6,13776.2,13933.9,13875.1,13962.4,13917.4,14129.2,14278.8,14413.3,14519.2,13618.4,13786.7,13109.5,12843.7,13799.3,13147.5,13098.4,12984.1,12988.2,12966.1,12810.6,12629.1,12502.9,12120.1,12513.3,12517.6,12359.9,12349.6,12270.3,12303.3,12270.8,12247.1,12446.4,12398.2,12531.6,12586.7,12597.7,12807.5,12853.2,13338.3,13394.3,13539.6,13600.6,13673,13615.7,12969.9,11510.2,10990.2,10967.4,10884.5,10856.6,10108.2,9885.6,8302.5,7890,7622.2,6878.7,6879.8,6568.4,6105.8,3958.2,4372.1,4960.5,4434.4,4856.1,4927.2
4,214.9,201.4,124.8,0,242.2,238.7,493.9,1026.6,984.8,552.8,633.9,903.5,911.6,1054.5,1201,1234.6,1016.5,997.8,1017.3,988,964.6,989.4,1259.1,1280.5,1365.8,1476.2,1527.4,1548.5,1516.8,1476.5,1024.3,1040.9,1113.7,1228.4,1654.8,1684.3,1945.6,1958.1,1955.7,2246.8,2333.8,2304.9,2626.9,2841.8,2885.9,2726.1,2779.2,2805.9,3002,3149.1,2782.3,3878.9,2990.6,3118.2,3131.2,4280.9,4354.1,4414.3,4374,4365.4,4502.1,4641,5221.7,5350.9,5356.7,5579.3,4350.1,5673.1,5676.8,13859.3,3959.4,4394,4381.7,4685.5,4988.6,4991.8,6123.1,6273.9,7844.8,7875.5,8079.8,8573,8630.3,9315,9378.1,8869.3,8735.1,8428.7,9101.9,9401.6,9131.4,9124.7,9398.7,9471.3,9481.5,9676.2,9800.5,9876.8,10208.7,11079.6,7973.5,8104.4,8677.9,9483.6,9506,9478.6,8154.9,8679.1,10962.8,11489.3,11538.2,11425.3,11385.8,11358.5,11357,10952.4,10671.6,10733.6,6175.4,6673.2,6479.9,6460.2,6414.3,6305.5,6239.1,6088.7,6048.3,5966.8,14858.7,7829.5,14517.4,14237.7,14129.8,14112.6,14016.9,12632.7,12204.2,12358.4,11973,14229.6,14232.8,14223.1,14187.9,13870.5,14028.2,13969.4,14056.7,14011.7,14223.5,14373.1,14507.6,14613.5,13712.7,13881,13203.8,12938,13893.6,13241.8,13192.7,13078.4,13082.5,13060.4,12904.9,12723.4,12597.2,12214.4,12607.6,12611.9,12454.2,12443.9,12364.6,12397.6,12365.1,12341.4,12540.7,12492.5,12625.9,12681,12692,12901.8,12947.5,13432.6,13488.6,13633.9,13694.9,13767.3,13710,13064.2,11604.5,10952.3,10929.5,10846.6,10818.7,10070.3,9847.7,8264.6,7852.1,7584.3,6840.8,6841.9,6530.5,6067.9,3983.7,4397.6,4986,4393.6,4890,4961.1
5,364.6,351.1,283,242.2,0,9.1,307.1,839.8,798,366,447.1,716.7,724.8,867.7,1014.2,1047.8,829.7,811,830.5,801.2,777.8,802.6,1072.3,1164.1,1259.3,1380.4,1431.6,1452.7,1421,1380.7,928.5,945.1,1017.9,1132.6,1571.4,1624.4,1912.4,1862.3,1859.9,2151,2238,2209.1,2531.3,2746.2,2790.3,2630.5,2694.7,2721.4,2917.5,3064.6,2697.8,3794.4,2930.7,3028.7,3046.7,4196.4,4269.6,4329.8,4289.5,4280.9,4417.6,4556.5,5137.2,5266.4,5272.2,5494.8,4265.6,5588.6,5592.3,14009,4109.1,4543.7,4531.4,4835.2,5138.3,5141.5,6272.8,6423.6,7994.5,8025.2,8229.5,8722.7,8780,9464.7,9527.8,9019,8884.8,8578.4,9251.6,9551.3,9281.1,9274.4,9548.4,9621,9631.2,9825.9,9950.2,10026.5,10358.4,11229.3,8123.2,8254.1,8827.6,9633.3,9655.7,9628.3,8304.6,8828.8,11112.5,11399.8,11523.9,11442.7,11403.2,11375.9,11374.4,10969.8,10689,10751,6090.9,6588.7,6395.4,6375.7,6329.8,6221,6154.6,6004.2,5963.8,5882.3,15008.4,7745,14667.1,14387.4,14279.5,14262.3,14166.6,12782.4,12353.9,12508.1,12122.7,14379.3,14382.5,14372.8,14337.6,14020.2,14177.9,14119.1,14206.4,14161.4,14373.2,14522.8,14657.3,14763.2,13862.4,14030.7,13353.5,13087.7,14043.3,13391.5,13342.4,13228.1,13232.2,13210.1,13054.6,12873.1,12746.9,12364.1,12757.3,12761.6,12603.9,12593.6,12514.3,12547.3,12514.8,12491.1,12690.4,12642.2,12775.6,12830.7,12841.7,13051.5,13097.2,13582.3,13638.3,13783.6,13844.6,13917,13859.7,13213.9,11754.2,10862.8,10840,10757.1,10729.2,9980.8,9758.2,8175.1,7762.6,7494.8,6756.3,6757.4,6446,5978.4,4001.1,4415,5003.4,4333.7,4907.4,4978.5
6,361.1,347.6,279.5,238.7,9.1,0,299.3,832,790.2,358.2,439.3,708.9,717,859.9,1006.4,1040,821.9,803.2,822.7,793.4,770,794.8,1064.5,1156.3,1251.5,1376.9,1428.1,1449.2,1417.5,1377.2,925,941.6,1014.4,1129.1,1567.9,1620.9,1908.9,1858.8,1856.4,2147.5,2234.5,2205.6,2527.8,2742.7,2786.8,2627,2691.2,2717.9,2914,3061.1,2694.3,3790.9,2927.2,3025.2,3043.2,4192.9,4266.1,4326.3,4286,4277.4,4414.1,4553,5133.7,5262.9,5268.7,5491.3,4262.1,5585.1,5588.8,14005.5,4105.6,4540.2,4527.9,4831.7,5134.8,5138,6269.3,6420.1,7991,8021.7,8226,8719.2,8776.5,9461.2,9524.3,9015.5,8881.3,8574.9,9248.1,9547.8,9277.6,9270.9,9544.9,9617.5,9627.7,9822.4,9946.7,10023,10354.9,11225.8,8119.7,8250.6,8824.1,9629.8,9652.2,9624.8,8301.1,8825.3,11109,11396.3,11520.4,11439.2,11399.7,11372.4,11370.9,10966.3,10685.5,10747.5,6087.4,6585.2,6391.9,6372.2,6326.3,6217.5,6151.1,6000.7,5960.3,5878.8,15004.9,7741.5,14663.6,14383.9,14276,14258.8,14163.1,12778.9,12350.4,12504.6,12119.2,14375.8,14379,14369.3,14334.1,14016.7,14174.4,14115.6,14202.9,14157.9,14369.7,14519.3,14653.8,14759.7,13858.9,14027.2,13350,13084.2,14039.8,13388,13338.9,13224.6,13228.7,13206.6,13051.1,12869.6,12743.4,12360.6,12753.8,12758.1,12600.4,12590.1,12510.8,12543.8,12511.3,12487.6,12686.9,12638.7,12772.1,12827.2,12838.2,13048,13093.7,13578.8,13634.8,13780.1,13841.1,13913.5,13856.2,13210.4,11750.7,10859.3,10836.5,10753.6,10725.7,9977.3,9754.7,8171.6,7759.1,7491.3,6752.8,6753.9,6442.5,5974.9,3997.6,4411.5,4999.9,4330.2,4903.9,4975
7,616.3,602.8,534.7,493.9,307.1,299.3,0,617.3,583.5,112.8,196.6,480.6,488.7,631.6,778.1,811.7,593.6,577.1,596.6,517.2,493.8,518.6,857.8,880.1,975.3,1138.3,1189.5,1210.6,1178.9,1138.6,790.4,779.2,787.5,901.6,1394.6,1528.2,1820.2,1620.2,1617.8,1898.9,1985.9,1957,2279.2,2494.1,2538.2,2378.4,2479,2505.7,2701.8,2848.9,2482.1,3578.7,2828.1,2822,2831,3980.7,4053.9,4114.1,4073.8,4065.2,4201.9,4340.8,4921.5,5050.7,5056.5,5279.1,4049.9,5372.9,5376.6,14192.5,4229.6,4656.9,4644.6,5086,5292.7,5295.9,6456.3,6607.1,8178,8208.7,8413,8906.2,8963.5,9648.2,9711.3,9202.5,9068.3,8761.9,9435.1,9734.8,9464.6,9457.9,9731.9,9804.5,9814.7,10009.4,10133.7,10210,10541.9,11412.8,8306.7,8437.6,9011.1,9885,9907.4,9880,8488.1,9012.3,11296,11193.1,11317.2,11465.9,11489.7,11503.1,11501.6,11097,10816.2,10878.2,5875.2,6373,6179.7,6160,6114.1,6005.3,5938.9,5788.5,5748.1,5666.6,15191.9,7529.3,14850.6,14570.9,14463,14445.8,14350.1,12965.9,12537.4,12691.6,12306.2,14562.8,14566,14556.3,14521.1,14203.7,14361.4,14302.6,14389.9,14344.9,14556.7,14706.3,14840.8,14946.7,14045.9,14214.2,13537,13271.2,14226.8,13575,13525.9,13411.6,13415.7,13393.6,13238.1,13056.6,12930.4,12547.6,12940.8,12945.1,12787.4,12777.1,12697.8,12730.8,12698.3,12674.6,12873.9,12825.7,12959.1,13014.2,13025.2,13235,13280.7,13765.8,13821.8,13967.1,14028.1,14100.5,14043.2,13397.4,11550.2,10656.1,10633.3,10550.4,10522.5,9774.1,9551.5,7968.4,7555.9,7288.1,6540.6,6541.7,6230.3,5771.7,4128.3,4542.2,5130.6,4237.5,5034.6,5105.7
8,951.3,937.8,982.9,1026.6,839.8,832,617.3,0,61.5,508.7,597.7,881.7,889.8,1032.7,1179.2,1212.8,994.7,996.9,1016.4,1006.2,982.8,1018.7,1266.4,1392.8,1488,1651,1702.2,1723.3,1691.6,1651.3,1216.6,1233.2,1300.2,1414.3,1917.9,2077,2369,2132.9,2130.5,2411.6,2498.6,2469.7,2791.9,3006.8,3050.9,2891.1,2991.7,3018.4,3214.5,3361.6,2994.8,4091.4,3351.4,3336.9,3343.7,4493.4,4566.6,4626.8,4586.5,4577.9,4714.6,4853.5,5434.2,5563.4,5569.2,5791.8,4562.6,5885.6,5889.3,13840.2,3849.5,4263,4250.7,4788.4,4934.6,4937.8,6104,6254.8,7825.7,7856.4,8060.7,8553.9,8611.2,9295.9,9359,8850.2,8716,8409.6,9082.8,9382.5,9112.3,9105.6,9379.6,9452.2,9462.4,9657.1,9781.4,9857.7,10189.6,11060.5,7954.4,8085.3,8658.8,9680,9702.4,9675,8135.8,8660,10943.7,11708,11832.1,11980.8,12004.6,12012.5,12011,11606.4,11325.6,11387.6,6387.9,6885.7,6692.4,6672.7,6626.8,6518,6451.6,6301.2,6260.8,6179.3,14839.6,8042,14498.3,14218.6,14110.7,14093.5,13997.8,12613.6,12185.1,12339.3,11953.9,14210.5,14213.7,14204,14168.8,13851.4,14009.1,13950.3,14037.6,13992.6,14204.4,14354,14488.5,14594.4,13693.6,13861.9,13184.7,12918.9,13874.5,13222.7,13173.6,13059.3,13063.4,13041.3,12885.8,12704.3,12578.1,12195.3,12588.5,12592.8,12435.1,12424.8,12345.5,12378.5,12346,12322.3,12521.6,12473.4,12606.8,12661.9,12672.9,12882.7,12928.4,13413.5,13469.5,13614.8,13675.8,13748.2,13690.9,13045.1,11585.4,11171,11148.2,11065.3,11037.4,10289,10066.4,8483.3,8070.8,7803,7053.3,7054.4,6743,6286.6,4661,5074.9,5663.3,4768.6,5544,5615.1
801,909.5,896,941.1,984.8,798,790.2,583.5,61.5,0,503.8,592.8,876.8,884.9,1027.8,1174.3,1207.9,989.8,992,1011.5,1001.3,977.9,1013.8,1261.5,1387.9,1483.1,1646.1,1697.3,1718.4,1686.7,1646.4,1211.7,1228.3,1295.3,1409.4,1913,2072.1,2364.1,2128,2125.6,2406.7,2493.7,2464.8,2787,3001.9,3046,2886.2,2986.8,3013.5,3209.6,3356.7,2989.9,4086.5,3346.5,3332,3338.8,4488.5,4561.7,4621.9,4581.6,4573,4709.7,4848.6,5429.3,5558.5,5564.3,5786.9,4557.7,5880.7,5884.4,13798.4,3807.7,4221.2,4208.9,4746.6,4892.8,4896,6062.2,6213,7783.9,7814.6,8018.9,8512.1,8569.4,9254.1,9317.2,8808.4,8674.2,8367.8,9041,9340.7,9070.5,9063.8,9337.8,9410.4,9420.6,9615.3,9739.6,9815.9,10147.8,11018.7,7912.6,8043.5,8617,9638.2,9660.6,9633.2,8094,8618.2,10901.9,11703.1,11827.2,11975.9,11998,11970.7,11969.2,11564.6,11283.8,11345.8,6383,6880.8,6687.5,6667.8,6621.9,6513.1,6446.7,6296.3,6255.9,6174.4,7306.3,7371.6,7860.6,7918,14068.9,14051.7,13956,12571.8,12143.3,12297.5,11912.1,14168.7,14171.9,14162.2,14127,13809.6,13967.3,13908.5,13995.8,13950.8,14162.6,14312.2,14446.7,14552.6,13651.8,13820.1,13142.9,12877.1,13832.7,13180.9,13131.8,13017.5,13021.6,12999.5,12844,12662.5,12536.3,12153.5,12546.7,12551,12393.3,12383,12303.7,12336.7,12304.2,12280.5,12479.8,12431.6,12565,12620.1,12631.1,12840.9,12886.6,13371.7,13427.7,13573,13634,13706.4,13649.1,13003.3,11543.6,11166.1,11143.3,11060.4,11032.5,10284.1,10061.5,8478.4,8065.9,7798.1,7048.4,7049.5,15429.6,6281.7,4619.2,5033.1,5621.5,4763.7,5502.2,5573.3
