190,,,,,,,,
1,2,27,3,40,54,272,107,315
2,1,13,1,6,11,185,27,315
3,1,13,1,6,11,185,27,315
4,168,134,115,48,64,225,83,210
5,9,21,13,36,74,256,77,241
6,1,1,1,19,12,0,57,266
8,5,17,4,47,84,335,65,340
9,36,42,96,120,53,456,68,690
10,50,55,76,56,139,290,183,373
11,60,9,60,11,235,140,115,224
12,132,48,132,8,100,375,120,240
13,11,44,4,50,97,223,43,233
14,10,28,7,36,35,213,60,213
15,2,10,3,33,37,335,40,220
16,144,142,48,230,140,432,210,457
17,61,56,106,99,139,211,164,383
18,155,117,132,48,90,340,50,395
19,33,96,44,100,100,350,115,410
20,147,168,144,216,225,408,370,900
21,9,5,8,5,50,59,50,110
22,43,11,48,11,110,103,80,190
23,12,52,20,65,58,212,100,266
24,48,43,48,72,58,366,283,300
25,55,58,96,120,118,288,130,287
26,25,66,43,30,92,580,153,520
27,128,105,6,2,200,470,0,0
28,96,32,150,111,292,278,242,278
29,96,32,150,111,292,278,242,278
30,66,27,126,107,330,313,260,223
31,72,5,84,69,110,10,200,499
32,228,48,324,96,344,453,900,750
33,2,2,8,2,60,175,100,175
34,1,2,1,2,156,167,163,172
35,8,20,18,44,60,400,100,450
36,24,20,26,80,80,450,75,500
37,9,24,13,36,50,128,67,128
38,48,36,32,72,105,310,37,405
39,6,24,6,24,60,270,50,490
40,38,96,36,30,50,710,75,688
41,48,108,72,96,80,601,70,483
42,48,72,16,72,47,240,86,400
43,2,48,2,48,75,386,75,386
44,10,16,14,24,15,488,40,579
45,12,36,6,51,550,512,550,1385
46,47,58,56,80,90,876,90,906
47,47,58,56,80,90,876,90,906
48,24,48,48,72,50,630,80,700
49,24,60,36,54,50,290,50,290
50,144,48,72,114,25,65,30,315
51,24,96,120,24,60,560,75,250
52,48,112,64,112,90,630,50,545
53,48,112,64,112,90,630,50,545
54,25,21,166,60,60,150,120,1200
55,12,49,24,30,226,862,107,375
56,24,96,48,6,231,1038,285,500
57,24,120,36,24,120,815,135,500
58,12,84,24,48,40,468,40,658
59,200,72,156,84,78,468,63,265
60,33,101,40,141,60,415,90,660
61,24,59,60,42,100,47,130,397
62,504,85,176,131,1800,1118,500,644
63,72,84,96,72,227,665,332,634
64,10,25,72,48,150,382,290,558
65,5,27,12,54,140,462,283,553
66,11,37,32,72,73,319,267,464
67,7,28,7,39,107,279,124,244
68,7,28,7,39,107,279,124,244
69,6,53,55,79,100,131,190,206
70,10,36,44,64,60,150,70,307
71,48,96,72,180,100,480,135,790
72,72,6,45,6,80,51,85,50
73,48,84,149,141,725,1113,742,828
74,4,10,2,7,55,338,55,46
75,2,27,2,3,100,100,100,0
76,33,17,33,14,250,214,200,300
77,33,17,33,14,250,214,200,300
78,1,24,1,1,30,300,0,0
79,1,0,1,0,0,0,0,0
80,1,0,1,0,0,0,0,0
81,1,0,1,0,0,0,0,0
82,6,9,8,10,10,55,10,77
83,2,4,1,1,52,55,0,0
84,1,0,1,0,0,0,0,0
85,2,18,2,15,50,300,50,335
86,1,0,1,0,0,0,0,0
87,1,0,1,0,0,0,0,0
88,26,6,26,57,67,156,116,228
89,3,12,27,80,200,375,144,596
90,2,9,3,8,45,103,50,150
91,5,8,6,23,26,85,60,306
92,4,5,8,6,22,70,27,109
93,149,80,96,210,374,593,400,409
94,88,48,265,240,100,258,1000,554
95,72,72,96,79,50,575,60,637
96,24,24,1,2,25,370,0,230
97,1,0,1,0,0,0,0,0
98,1,0,1,0,0,0,0,0
99,1,0,1,0,0,0,0,0
100,2,36,1,2,70,213,0,0
101,1,0,1,0,0,0,0,0
102,1,36,1,0,45,345,0,0
103,4,24,2,3,25,280,0,0
104,1,24,1,24,75,305,75,253
105,1,0,1,0,0,0,0,0
106,1,0,1,0,0,0,0,0
107,1,2,1,0,40,55,0,0
108,2,1,2,1,27,115,27,115
109,1,0,1,0,0,0,0,0
110,1,0,1,0,0,0,0,0
111,1,0,1,0,0,0,0,0
112,1,0,1,0,0,0,0,0
113,1,2,1,0,0,0,0,0
114,2,24,1,0,35,150,0,0
115,3,7,1,0,28,58,0,0
116,66,6,48,32,192,75,162,100
117,4,7,4,0,60,65,0,0
118,48,3,2,4,44,76,41,83
119,2,2,2,2,0,125,0,125
120,2,36,3,24,40,365,0,365
121,48,109,32,87,133,381,152,326
122,139,72,156,79,128,778,180,809
123,60,118,36,84,160,585,205,550
124,144,193,144,217,330,1113,405,1013
125,48,48,77,98,33,242,90,545
126,51,62,64,69,92,749,400,580
127,26,61,72,53,96,547,545,702
128,72,55,82,120,227,552,387,821
129,11,67,180,168,25,163,252,612
130,89,108,36,80,155,490,474,553
131,84,239,89,125,136,423,267,456
132,84,75,96,102,86,261,197,265
133,74,128,120,242,250,786,564,1077
134,51,48,156,78,39,391,282,462
135,48,78,59,82,80,354,110,599
136,66,202,163,271,306,983,849,1407
137,48,141,120,122,60,280,500,709
138,87,106,172,242,188,319,500,965
139,120,276,208,397,165,1975,310,1581
140,154,132,240,240,85,760,70,985
141,60,96,120,84,200,1633,170,1320
142,96,164,96,72,240,825,460,1030
143,192,296,174,336,500,2223,765,3039
144,190,180,132,144,428,967,420,1093
145,76,51,194,72,175,172,750,120
146,72,72,48,120,95,605,100,1055
147,60,72,50,118,95,605,100,1055
148,73,44,76,85,350,495,300,952
149,120,59,180,154,150,109,1025,444
150,19,16,60,194,191,143,115,833
151,49,70,58,99,117,868,150,595
152,75,78,55,55,342,243,162,143
153,9,24,9,41,128,303,166,372
154,36,66,16,9,160,602,60,399
155,30,83,48,74,110,183,121,282
156,24,59,96,145,102,209,296,447
157,96,96,240,402,275,1175,375,1350
158,96,120,72,120,200,370,175,380
159,99,88,81,228,170,285,150,562
160,18,5,3,4,179,317,67,98
161,68,92,36,87,55,1257,73,676
162,90,120,3,6,348,745,63,145
163,7,36,4,39,264,766,100,539
164,3,37,1,25,67,337,80,367
165,48,42,48,72,75,700,85,940
201,48,41,46,81,117,486,150,1776
202,48,41,46,81,117,486,150,1776
203,22,28,28,83,48,368,150,563
204,22,28,28,83,48,368,150,563
205,32,60,44,78,250,499,250,635
206,1,0,1,0,0,0,0,0
207,1,0,1,0,0,0,0,0
208,1,0,1,0,0,0,0,0
209,1,0,1,0,0,0,0,0
210,2,1,2,1,27,115,27,115
211,1,0,1,0,0,0,0,0
212,1,0,3,4,0,0,100,50
213,48,112,64,112,90,630,50,545
214,48,112,64,112,90,630,50,545
215,1,4,1,5,90,150,90,150
216,24,72,24,60,125,641,125,588
217,24,72,24,60,125,641,125,588
218,2,2,4,3,76,134,76,134
219,73,44,76,85,350,495,300,952
223,192,146,360,179,194,763,350,781
224,51,62,64,69,92,749,400,580
225,50,51,26,70,124,651,93,765
226,24,72,24,60,125,641,125,588
227,46,83,17,150,194,426,75,406
228,44,82,33,97,115,332,93,341
241,48,42,61,100,300,596,180,981
