1	1.41E+06	1.72E+06	5.52E+05	2.49E+03	0																																							
2	9.40E+05	1.15E+06	4.98E+05	1.18E+05	4.78E+04																																							
3	1.59E+05	1.95E+05	0	0	0																																							
4	9.18E+05	1.13E+06	3.75E+04	1.09E+03	0																																							
5	6.65E+05	8.16E+05	2.78E+04	0	2.77E+03																																							
6	7.49E+05	9.19E+05	1.10E+05	3.91E+02	0																																							
7	2.60E+05	3.19E+05	2.09E+03	0	0																																							
8	1.35E+04	8.90E+04	0	0	0																																							
801	9.16E+03	6.04E+04	0	0	0																																							
9	3.85E+06	3.34E+06	9.40E+06	1.22E+06	9.14E+05																																							
10	8.13E+05	7.07E+05	1.79E+05	5.57E+04	3.04E+03																																							
11	1.77E+05	1.54E+05	2.96E+03	0	0																																							
12	9.41E+05	8.18E+05	7.74E+04	0	0																																							
13	1.65E+06	5.32E+05	4.05E+04	1.94E+03	0																																							
331	1.16E+05	3.76E+04	0	0	0																																							
14	2.87E+06	9.27E+05	2.22E+05	7.39E+03	4.78E+03																																							
15	3.75E+05	1.22E+05	1.73E+04	0	0																																							
16	5.77E+06	1.86E+06	1.12E+06	3.81E+04	6.13E+03																																							
17	9.64E+05	3.11E+05	1.14E+04	0	0																																							
271	3.64E+05	1.18E+05	88.04850936	0	0																																							
18	1.14E+07	3.70E+06	3.88E+06	3.70E+05	2.39E+05																																							
19	7.05E+06	2.28E+06	2.20E+06	2.22E+05	9.62E+04																																							
20	6.09E+05	1.97E+05	2.11E+03	0	0																																							
21	2.13E+06	6.87E+05	1.09E+06	1.52E+04	1.98E+03																																							
22	3.02E+04	9.77E+03	9.01E+02	0	0																																							
23	4.12E+06	1.33E+06	1.66E+06	2.49E+05	1.35E+05																																							
24	3.41E+06	1.10E+06	1.52E+06	4.09E+04	4.17E+04																																							
25	1.65E+06	5.32E+05	2.27E+06	1.08E+05	1.79E+04																																							
252	3.00E+05	9.72E+04	6.46E+04	0	0																																							
26	6.13E+05	1.94E+06	4.95E+06	5.54E+05	2.18E+05																																							
27	4.28E+05	3.40E+05	1.22E+05	0	0																																							
28	5.19E+05	4.12E+05	1.93E+05	0	0																																							
29	5.05E+05	4.01E+05	3.75E+03	1.51E+03	0																																							
30	1.89E+06	1.50E+06	3.40E+06	1.72E+05	5.69E+02																																							
31	4.13E+05	1.87E+06	2.39E+04	3.89E+03	0																																							
32	3.69E+04	1.67E+05	0	0	0																																							
33	6.57E+04	2.97E+05	1.11E+03	6.92E+02	0																																							
34	3.81E+05	3.44E+05	2.80E+04	4.30E+03	4.33E+02																																							
341	1.36E+05	1.22E+05	18.62907689	18.62907689	0																																							
342	4.20E+04	3.77E+04	0	0	0																																							
35	2.30E+06	2.07E+06	2.11E+04	1.64E+03	0																																							
36	1.32E+06	1.19E+06	4.71E+04	2.30E+03	4.82E+02																																							
361	2.41E+05	2.52E+05	1.00E+03	0	0																																							
37	3.63E+06	2.35E+06	2.37E+05	7.64E+02	0																																							
38	6.39E+05	4.15E+05	7.78E+03	0	0																																							
381	6.58E+04	4.27E+04	4.41E+03	0	0																																							
39	2.69E+05	2.77E+05	2.40E+02	0	0																																							
40	2.17E+05	2.24E+05	4.42E+06	3.00E+06	8.12E+05																																							
41	1.78E+06	1.83E+06	3.42E+06	2.65E+04	0																																							
42	5.26E+05	5.42E+05	7.05E+03	0	0																																							
43	1.60E+06	1.74E+06	2.37E+07	2.68E+06	1.85E+06																																							
431	1.70E+05	2.51E+05	0	0	0																																							
44	1.06E+06	9.78E+05	3.35E+02	0	0																																							
45	2.24E+06	2.07E+06	3.13E+04	1.09E+03	0																																							
46	9.52E+04	8.81E+04	0	0	0																																							
47	6.65E+05	1.22E+06	0	0	0																																							
48	1.39E+05	1.23E+05	0	0	0																																							
485	1.10E+05	9.74E+04	9.15E+03	3.31E+02	0																																							
486	1.27E+05	1.13E+05	3.72E+02	3.72E+02	0																																							
49	3.51E+05	3.10E+05	3.42E+02	0	0																																							
491	1.10E+05	9.70E+04	0	0	0																																							
492	1.17E+05	1.04E+05	0	0	0																																							
50	1.13E+06	1.00E+06	2.07E+05	4.52E+03	3.46E+03																																							
501	1.29E+05	1.14E+05	5.28E+03	0	4.87E+03																																							
51	2.00E+05	1.77E+05	3.10E+03	1.29E+03	0																																							
52	8.35E+05	7.39E+05	4.35E+05	1.92E+04	1.30E+05																																							
53	2.02E+05	3.89E+05	3.21E+06	4.56E+05	4.51E+05																																							
54	2.62E+05	4.52E+05	2.19E+04	2.40E+03	0																																							
55	4.58E+05	7.90E+05	1.34E+04	0	0																																							
56	5.07E+05	7.05E+05	53.39689931	0	53.39689931																																							
57	2.44E+05	2.91E+05	0	0	0																																							
58	7.51E+05	8.97E+05	9.75E+04	0	0																																							
59	1.11E+06	1.42E+06	2.87E+04	0	0																																							
61	4.02E+05	1.12E+06	4.18E+05	7.35E+04	2.51E+04																																							
62	1.51E+06	4.21E+06	2.59E+05	2.95E+04	1.26E+04																																							
63	1.21E+06	3.39E+06	6.56E+04	1.98E+04	2.66E+04																																							
64	4.97E+05	8.51E+05	4.28E+05	1.05E+05	7.67E+04																																							
65	2.17E+05	3.72E+05	1.56E+05	2.24E+04	3.88E+04																																							
66	1.06E+05	9.94E+04	1.65E+06	5.04E+05	7.97E+05																																							
67	2.33E+05	2.19E+05	4.43E+06	1.06E+06	8.73E+05																																							
68	2.95E+05	2.77E+05	1.47E+04	3.31E+03	0																																							
69	1.69E+05	1.68E+05	1.91E+04	8.05E+03	0																																							
691	1.10E+05	1.92E+05	2.14E+04	6.69E+03	0																																							
70	4.47E+05	5.09E+05	2.88E+04	1.30E+04	7.76E+03																																							
71	3.16E+05	3.60E+05	6.41E+04	6.03E+04	3.82E+03																																							
72	1.71E+05	3.90E+05	3.00E+03	0	0																																							
73	4.04E+05	9.22E+05	4.25E+05	1.37E+05	9.13E+04																																							
74	9.57E+04	2.19E+05	7.11E+05	4.29E+04	0																																							
75	3.56E+03	8.13E+03	8.09E+05	1.73E+05	6.36E+05																																							
76	7.70E+05	1.26E+06	6.58E+05	2.14E+05	2.60E+05																																							
77	3.44E+05	5.63E+05	2.69E+05	3.68E+04	7.39E+03																																							
78	2.92E+05	4.79E+05	4.14E+05	2.70E+05	2.27E+04																																							
79	2.34E+05	3.83E+05	9.62E+04	4.67E+04	0																																							
80	1.39E+06	2.27E+06	8.88E+05	1.36E+05	1.10E+05																																							
81	7.52E+05	1.23E+06	7.16E+05	2.62E+05	1.27E+05																																							
82	7.14E+05	1.17E+06	4.11E+05	9.79E+04	7.04E+04																																							
83	3.01E+05	4.93E+05	1.20E+03	9.05E+02	0																																							
84	2.31E+06	3.77E+06	1.01E+06	2.06E+05	1.84E+05																																							
841	1.70E+05	1.68E+05	2.28E+05	0	0																																							
85	5.22E+05	5.16E+05	2.67E+04	0	2.67E+04																																							
