1044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,52,19614.30769,23,0.5,0.333333333,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,13,14,9,19,18,23,40,152,153,157,999,153,999,43,18,13,,,,,,,,,,,
2,52,4414.4,24.2,0.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,14,16,18,19,80,81,999,79,9,14,,,,,,,,,,,,,,,,,
3,52,9869.333333,25.25,0.5,0.333333333,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,21,30,24,23,36,43,109,84,82,81,80,77,75,84,43,21,,,,,,,,,,,
4,52,18341.66667,24,0.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,19,18,23,40,113,154,153,151,140,149,116,109,107,23,16,,,,,,,,,,,
5,52,14359.27273,24.25,0.5,0.333333333,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,18,19,24,23,43,121,132,134,135,136,138,137,130,109,43,18,,,,,,,,,,,
6,52,8594.909091,24.9,0.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,26,23,18,9,67,80,82,81,77,75,26,,,,,,,,,,,,,,,,
7,52,8596.727273,24.5,0.5,0.333333333,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,43,24,23,26,19,18,9,84,83,82,109,53,43,,,,,,,,,,,,,,
8,52,14775.33333,24,0.5,0.333333333,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,13,14,9,19,18,25,23,43,130,137,138,134,132,113,210,107,43,14,13,,,,,,,,
9,52,14559,24.1,0.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,19,18,23,40,139,151,140,149,113,43,19,,,,,,,,,,,,,,,,
10,52,6284.363636,25.40909091,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,19,18,21,23,9,76,999,75,66,9,19,,,,,,,,,,,,,,,,
